oracle Database name       :  HRPRD
Starting "SYS"."SYS_EXPORT_TABLE_03":  userid="/******** AS SYSDBA" directory=ABSAPRXX_HR dumpfile=ABSAPRXX_11-12-2025_1995_2000_01-May-2023_01-Mar-2024_HR_%U.dmp logfile=ABSAPRXX_11-12-2025_1995_2000_01-May-2023_01-Mar-2024_HR.log parallel=18 EXCLUDE=statistics EXCLUDE=TRIGGER ENCRYPTION=ALL ENCRYPTION_MODE=DUAL ENCRYPTION_ALGORITHM=AES256 ENCRYPTION_PASSWORD=******** FILESIZE=10G COMPRESSION=ALL TABLES=SYSADM.PS_EOAWSTPINST_HXX QUERY=SYSADM.PS_EOAWSTPINST_HXX:"WHERE PSARCH_ID='ABSAPRXX' AND PSARCH_BATCHNUM||PSARCH_ID IN (SELECT PSARCH_BATCHNUM||PSARCH_ID FROM SYSADM.PSARCHBATCH WHERE PSARCH_DTTM >= '01-May-2023' AND PSARCH_DTTM < '01-Mar-2024')" TABLES=SYSADM.PS_EOAW_COMNTS_HXX QUERY=SYSADM.PS_EOAW_COMNTS_HXX:"WHERE PSARCH_ID='ABSAPRXX' AND PSARCH_BATCHNUM||PSARCH_ID IN (SELECT PSARCH_BATCHNUM||PSARCH_ID FROM SYSADM.PSARCHBATCH WHERE PSARCH_DTTM >= '01-May-2023' AND PSARCH_DTTM < '01-Mar-2024')" TABLES=SYSADM.PS_EOAW_HISCOM_HXX QUERY=SYSADM.PS_EOAW_HISCOM_HXX:"WHERE PSARCH_ID='ABSAPRXX' AND PSARCH_BATCHNUM||PSARCH_ID IN (SELECT PSARCH_BATCHNUM||PSARCH_ID FROM SYSADM.PSARCHBATCH WHERE PSARCH_DTTM >= '01-May-2023' AND PSARCH_DTTM < '01-Mar-2024')" TABLES=SYSADM.PS_EOAW_SUMDTL_HXX QUERY=SYSADM.PS_EOAW_SUMDTL_HXX:"WHERE PSARCH_ID='ABSAPRXX' AND PSARCH_BATCHNUM||PSARCH_ID IN (SELECT PSARCH_BATCHNUM||PSARCH_ID FROM SYSADM.PSARCHBATCH WHERE PSARCH_DTTM >= '01-May-2023' AND PSARCH_DTTM < '01-Mar-2024')" TABLES=SYSADM.PS_EOAW_SUMM_HXX QUERY=SYSADM.PS_EOAW_SUMM_HXX:"WHERE PSARCH_ID='ABSAPRXX' AND PSARCH_BATCHNUM||PSARCH_ID IN (SELECT PSARCH_BATCHNUM||PSARCH_ID FROM SYSADM.PSARCHBATCH WHERE PSARCH_DTTM >= '01-May-2023' AND PSARCH_DTTM < '01-Mar-2024')" TABLES=SYSADM.PS_EOAW_WL_HXX QUERY=SYSADM.PS_EOAW_WL_HXX:"WHERE PSARCH_ID='ABSAPRXX' AND PSARCH_BATCHNUM||PSARCH_ID IN (SELECT PSARCH_BATCHNUM||PSARCH_ID FROM SYSADM.PSARCHBATCH WHERE PSARCH_DTTM >= '01-May-2023' AND PSARCH_DTTM < '01-Mar-2024')" TABLES=SYSADM.PS_GP_ABSSXREF_HXX QUERY=SYSADM.PS_GP_ABSSXREF_HXX:"WHE
Processing object type TABLE_EXPORT/TABLE/PROCACT_INSTANCE
Processing object type TABLE_EXPORT/TABLE/TABLE_DATA
. . exported "SYSADM"."PS_EOAWSTPINST_HXX"                   0 KB       0 rows
. . exported "SYSADM"."PS_EOAW_COMNTS_HXX"                   0 KB       0 rows
. . exported "SYSADM"."PS_EOAW_HISCOM_HXX"                   0 KB       0 rows
. . exported "SYSADM"."PS_EOAW_SUMDTL_HXX"                   0 KB       0 rows
. . exported "SYSADM"."PS_EOAW_SUMM_HXX"                     0 KB       0 rows
. . exported "SYSADM"."PS_EOAW_WL_HXX"                       0 KB       0 rows
. . exported "SYSADM"."PS_GP_ABSSXREF_HXX"                   0 KB       0 rows
